mu_DM,alpha,A
10.0,0.0,0.30763766300802514
10.0,0.005050505050505051,0.31593479099971145
10.0,0.010101010101010102,0.32444790254030587
10.0,0.015151515151515152,0.3331824443120211
10.0,0.020202020202020204,0.3421439967835479
10.0,0.025252525252525256,0.35133827737314594
10.0,0.030303030303030304,0.3607711438386862
10.0,0.03535353535353536,0.37044859758851834
10.0,0.04040404040404041,0.3803767871574555
10.0,0.045454545454545456,0.39056201174239946
10.0,0.05050505050505051,0.40101072485992656
10.0,0.05555555555555556,0.41172953797337924
10.0,0.06060606060606061,0.4227252243670723
10.0,0.06565656565656566,0.43400472302808596
10.0,0.07070707070707072,0.44557514257152325
10.0,0.07575757575757576,0.4574437653608572
10.0,0.08080808080808081,0.4696180516609913
10.0,0.08585858585858587,0.4821056438925394
10.0,0.09090909090909091,0.49491437105195346
10.0,0.09595959595959597,0.5080522531314182
10.0,0.10101010101010102,0.5215275057197682
10.0,0.10606060606060606,0.535348544749223
10.0,0.11111111111111112,0.549523991161749
10.0,0.11616161616161617,0.5640626759301549
10.0,0.12121212121212122,0.5789736450966446
10.0,0.12626262626262627,0.5942661648537465
10.0,0.13131313131313133,0.609949726866592
10.0,0.13636363636363638,0.6260340536321791
10.0,0.14141414141414144,0.6425291040822428
10.0,0.14646464646464646,0.6594450791221068
10.0,0.15151515151515152,0.6767924275129574
10.0,0.15656565656565657,0.6945818517638529
10.0,0.16161616161616163,0.7128243142164477
10.0,0.16666666666666669,0.7315310432555172
10.0,0.17171717171717174,0.7507135396494865
10.0,0.1767676767676768,0.7703835830236376
10.0,0.18181818181818182,0.7905532386347336
10.0,0.18686868686868688,0.8112348641117523
10.0,0.19191919191919193,0.8324411164878839
10.0,0.196969696969697,0.8541849592206896
10.0,0.20202020202020204,0.8764796697208951
10.0,0.2070707070707071,0.8993388466715638
10.0,0.21212121212121213,0.9227764177449995
10.0,0.21717171717171718,0.9468066474652567
10.0,0.22222222222222224,0.9714441452356126
10.0,0.2272727272727273,0.9967038736426899
10.0,0.23232323232323235,1.0226011567370041
10.0,0.2373737373737374,1.0491516887344692
10.0,0.24242424242424243,1.0763715427777842
10.0,0.2474747474747475,1.1042771801078035
10.0,0.25252525252525254,1.1328854591781627
10.0,0.2575757575757576,1.1622136451877456
10.0,0.26262626262626265,1.192279419726957
10.0,0.2676767676767677,1.2231008906436336
10.0,0.27272727272727276,1.2546966023745383
10.0,0.2777777777777778,1.2870855462078974
10.0,0.2828282828282829,1.3202871709050146
10.0,0.2878787878787879,1.3543213936480152
10.0,0.29292929292929293,1.3892086111405058
10.0,0.297979797979798,1.424969711154899
10.0,0.30303030303030304,1.461626084076885
10.0,0.3080808080808081,1.499199634839629
10.0,0.31313131313131315,1.5377127952124792
10.0,0.31818181818181823,1.5771885363575373
10.0,0.32323232323232326,1.6176503816620162
10.0,0.3282828282828283,1.6591224198465544
10.0,0.33333333333333337,1.7016293183218092
10.0,0.3383838383838384,1.7451963370837145
10.0,0.3434343434343435,1.789849342778961
10.0,0.3484848484848485,1.8356148229908311
10.0,0.3535353535353536,1.8825199011583091
10.0,0.3585858585858586,1.9305923516042363
10.0,0.36363636363636365,1.97986061486793
10.0,0.36868686868686873,2.030353813731229
10.0,0.37373737373737376,2.0821017693553974
10.0,0.37878787878787884,2.1351350178928494
10.0,0.38383838383838387,2.1894848274166363
10.0,0.3888888888888889,2.245183215243946
10.0,0.393939393939394,2.3022629657902405
10.0,0.398989898989899,2.3607576487430384
10.0,0.4040404040404041,2.420701637812434
10.0,0.4090909090909091,2.482130129674326
10.0,0.4141414141414142,2.54507916345057
10.0,0.4191919191919192,2.609585640935444
10.0,0.42424242424242425,2.675687346836166
10.0,0.42929292929292934,2.7434229697075763
10.0,0.43434343434343436,2.8128321235774902
10.0,0.43939393939393945,2.883955369756881
10.0,0.4444444444444445,2.956834239259878
10.0,0.44949494949494956,3.0315112560226942
10.0,0.4545454545454546,3.108029960129579
10.0,0.4595959595959596,3.1864349319749627
10.0,0.4646464646464647,3.266771817203554
10.0,0.4696969696969697,3.3490873516746635
10.0,0.4747474747474748,3.433429387305977
10.0,0.47979797979797983,3.519846918658638
10.0,0.48484848484848486,3.608390109866813
10.0,0.48989898989898994,3.6991103224494988
10.0,0.494949494949495,3.7920601437155113
10.0,0.5,3.8872934156591734
10.06060606060606,0.0,0.39516287387936216
10.06060606060606,0.005050505050505051,0.4057979399813118
10.06060606060606,0.010101010101010102,0.4167093915253302
10.06060606060606,0.015151515151515152,0.42790418986274364
10.06060606060606,0.020202020202020204,0.4393894671886138
10.06060606060606,0.025252525252525256,0.4511725305943961
10.06060606060606,0.030303030303030304,0.4632608663760842
10.06060606060606,0.03535353535353536,0.4756621442725229
10.06060606060606,0.04040404040404041,0.4883842218977403
10.06060606060606,0.045454545454545456,0.5014351492566305
10.06060606060606,0.05050505050505051,0.514823173405637
10.06060606060606,0.05555555555555556,0.5285567430958212
10.06060606060606,0.06060606060606061,0.5426445137045264
10.06060606060606,0.06565656565656566,0.5570953521947727
10.06060606060606,0.07070707070707072,0.5719183421285036
10.06060606060606,0.07575757575757576,0.5871227889199491
10.06060606060606,0.08080808080808081,0.602718225141403
10.06060606060606,0.08585858585858587,0.6187144159518013
10.06060606060606,0.09090909090909091,0.6351213647330111
10.06060606060606,0.09595959595959597,0.6519493187367219
10.06060606060606,0.10101010101010102,0.6692087749607435
10.06060606060606,0.10606060606060606,0.686910486191469
10.06060606060606,0.11111111111111112,0.7050654669763501
10.06060606060606,0.11616161616161617,0.7236850000299585
