mu_DM,alpha,A
10.0,0.0,15.187182666294914
10.0,0.005050505050505051,15.587611760417003
10.0,0.010101010101010102,15.998242912495396
10.0,0.015151515151515152,16.419328690558675
10.0,0.020202020202020204,16.85112778016686
10.0,0.025252525252525256,17.293905129724088
10.0,0.030303030303030304,17.74793210027709
10.0,0.03535353535353536,18.21348661823376
10.0,0.04040404040404041,18.69085333246031
10.0,0.045454545454545456,19.18032377397291
10.0,0.05050505050505051,19.68219652040812
10.0,0.05555555555555556,20.19677736403285
10.0,0.06060606060606061,20.72437948343341
10.0,0.06565656565656566,21.26532361990503
10.0,0.07070707070707072,21.819938257517453
10.0,0.07575757575757576,22.388559807307917
10.0,0.08080808080808081,22.971532796713756
10.0,0.08585858585858587,23.56921006229761
10.0,0.09090909090909091,24.18195294749169
10.0,0.09595959595959597,24.810131506356793
10.0,0.10101010101010102,25.4541247093056
10.0,0.10606060606060606,26.11432065596453
10.0,0.11111111111111112,26.79111679346652
10.0,0.11616161616161617,27.48492013697308
10.0,0.12121212121212122,28.196147498582125
10.0,0.12626262626262627,28.925225720069093
10.0,0.13131313131313133,29.672591911379282
10.0,0.13636363636363638,30.43869369517469
10.0,0.14141414141414144,31.223989456038684
10.0,0.14646464646464646,32.0289485969076
10.0,0.15151515151515152,32.85405180073545
10.0,0.15656565656565657,33.69979129898516
10.0,0.16161616161616163,34.566671145812
10.0,0.16666666666666669,35.45520749860373
10.0,0.17171717171717174,36.365928906075595
10.0,0.1767676767676768,37.29937660276784
10.0,0.18181818181818182,38.25610480960977
10.0,0.18686868686868688,39.23668104252435
10.0,0.19191919191919193,40.24168642937101
10.0,0.196969696969697,41.271716031408744
10.0,0.20202020202020204,42.327379175319386
10.0,0.2070707070707071,43.40929979132598
10.0,0.21212121212121213,44.51811675916881
10.0,0.21717171717171718,45.65448426439323
10.0,0.22222222222222224,46.819072160793695
10.0,0.2272727272727273,48.012566341546226
10.0,0.23232323232323235,49.23566912097128
10.0,0.2373737373737374,50.4890996231122
10.0,0.24242424242424243,51.77359418120159
10.0,0.2474747474747475,53.08990674547601
10.0,0.25252525252525254,54.4388093007562
10.0,0.2575757575757576,55.82109229421902
10.0,0.26262626262626265,57.23756507336542
10.0,0.2676767676767677,58.68905633414308
10.0,0.27272727272727276,60.17641457949105
10.0,0.2777777777777778,61.70050858890817
10.0,0.2828282828282829,63.26222789839627
10.0,0.2878787878787879,64.86248329336247
10.0,0.29292929292929293,66.50220731206093
10.0,0.297979797979798,68.18235476052962
10.0,0.30303030303030304,69.9039032397046
10.0,0.3080808080808081,71.66785368681111
10.0,0.31313131313131315,73.47523092783
10.0,0.31818181818181823,75.32708424234903
10.0,0.32323232323232326,77.22448794352981
10.0,0.3282828282828283,79.16854197129715
10.0,0.33333333333333337,81.16037249874157
10.0,0.3383838383838384,83.20113255267536
10.0,0.3434343434343435,85.29200265073581
10.0,0.3484848484848485,87.43419145144799
10.0,0.3535353535353536,89.62893642089931
10.0,0.3585858585858586,91.87750451456523
10.0,0.36363636363636365,94.18119287407586
10.0,0.36868686868686873,96.54132954403468
10.0,0.37373737373737376,98.95927420131615
10.0,0.37878787878787884,101.43641890463397
10.0,0.38383838383838387,103.97418886080295
10.0,0.3888888888888889,106.57404320897271
10.0,0.393939393939394,109.23747582371999
10.0,0.398989898989899,111.96601613557085
10.0,0.4040404040404041,114.76122997344704
10.0,0.4090909090909091,117.62472042540018
10.0,0.4141414141414142,120.55812872068155
10.0,0.4191919191919192,123.56313513020466
10.0,0.42424242424242425,126.64145989079539
10.0,0.42929292929292934,129.7948641506447
10.0,0.43434343434343436,133.0251509365274
10.0,0.43939393939393945,136.33416614371433
10.0,0.4444444444444445,139.72379955019312
10.0,0.44949494949494956,143.19598585356505
10.0,0.4545454545454546,146.75270573390847
10.0,0.4595959595959596,150.39598694051256
10.0,0.4646464646464647,154.1279054039609
